,times,sst,sst_err,ftemp,wind,atemp,swrad,humid
427,695577.6799999595,303.1019626386484,1.0,303.41018680677405,0.6638546409721544,302.16052831290193,0.5,0.01
428,695587.6799999595,303.0976865148891,1.0,303.40656742557167,0.677295971969623,302.1596672504384,0.5,0.01
429,695597.6799999595,303.0934103911299,1.0,303.40294804436934,0.6907373029670916,302.15880618797496,0.5,0.01
430,695607.6799999595,303.08913426737064,1.0,303.39932866316695,0.7041786339645602,302.1579451255115,0.5,0.01
431,695617.6799999595,303.0848581436114,1.0,303.3957092819646,0.7176199649620287,302.15708406304805,0.5,0.01
432,695627.6799999595,303.0805820198522,1.0,303.39208990076224,0.7310612959594973,302.1562230005846,0.5,0.01
433,695637.6799999595,303.07630589609295,1.0,303.3884705195599,0.7445026269569659,302.15536193812113,0.5,0.01
434,695647.6799999595,303.07202977233374,1.0,303.38485113835753,0.7579439579544345,302.1545008756577,0.5,0.01
435,695657.6799999595,303.06775364857447,1.0,303.3812317571552,0.7713852889519031,302.15363981319416,0.5,0.01
436,695667.6799999595,303.06347752481526,1.0,303.3776123759528,0.7848266199493716,302.1527787507307,0.5,0.01
437,695677.6799999595,303.059201401056,1.0,303.37399299475044,0.7982679509468402,302.15191768826725,0.5,0.01
438,695687.6799999595,303.0549252772968,1.0,303.3703736135481,0.8117092819443088,302.1510566258038,0.5,0.01
439,695697.6799999595,303.0506491535375,1.0,303.3667542323457,0.8251506129417774,302.15019556334033,0.5,0.01
440,695707.6799999595,303.0463730297783,1.0,303.3631348511434,0.838591943939246,302.1493345008769,0.5,0.01
441,695717.6799999595,303.042096906019,1.0,303.359515469941,0.8520332749367145,302.1484734384134,0.5,0.01
442,695727.6799999595,303.0378207822598,1.0,303.3558960887387,0.8654746059341831,302.14761237594996,0.5,0.01
443,695737.6799999595,303.03354465850055,1.0,303.3522767075363,0.8789159369316517,302.14675131348645,0.5,0.01
444,695747.6799999595,303.02926853474133,1.0,303.348657326334,0.8923572679291203,302.145890251023,0.5,0.01
445,695757.6799999595,303.02499241098207,1.0,303.3450379451316,0.9057985989265889,302.14502918855953,0.5,0.01
446,695767.6799999595,303.02071628722285,1.0,303.3414185639292,0.9192399299240575,302.1441681260961,0.5,0.01
447,695777.6799999595,303.01644016346364,1.0,303.3377991827269,0.932681260921526,302.1433070636326,0.5,0.01
448,695787.6799999595,303.0121640397044,1.0,303.3341798015245,0.9461225919189945,302.14244600116916,0.5,0.01
449,695797.6799999595,303.00788791594516,1.0,303.3305604203222,0.9595639229164631,302.1415849387057,0.5,0.01
450,695807.6799999595,303.0036117921859,1.0,303.3269410391198,0.9730052539139317,302.1407238762422,0.5,0.01
451,695817.6799999595,302.9993356684267,1.0,303.32332165791746,0.9864465849114002,302.13986281377873,0.5,0.01
452,695827.6799999595,302.9950595446674,1.0,303.3197022767151,0.9998879159088688,302.1390017513153,0.5,0.01
453,695837.6799999595,302.9907834209082,1.0,303.31608289551275,1.0133292469063373,302.1381406888518,0.5,0.01
454,695847.6799999595,302.98650729714893,1.0,303.31246351431037,1.026770577903806,302.13727962638836,0.5,0.01
455,695857.6799999595,302.9822311733897,1.0,303.30884413310804,1.0402119089012745,302.1364185639249,0.5,0.01
456,695867.6799999595,302.97795504963045,1.0,303.30522475190566,1.0536532398987433,302.13555750146145,0.5,0.01
457,695877.6799999595,302.97367892587124,1.0,303.30160537070327,1.0670945708962116,302.13469643899793,0.5,0.01
458,695887.6799999595,302.969402802112,1.0,303.29798598950094,1.0805359018936804,302.1338353765345,0.5,0.01
459,695897.6799999595,302.96512667835276,1.0,303.29436660829856,1.0939772328911488,302.132974314071,0.5,0.01
460,695907.6799999595,302.96085055459355,1.0,303.29074722709623,1.1074185638886176,302.13211325160756,0.5,0.01
461,695917.6799999595,302.9565744308343,1.0,303.28712784589385,1.120859894886086,302.1312521891441,0.5,0.01
462,695927.6799999595,302.95229830707507,1.0,303.2835084646915,1.1343012258835548,302.13039112668065,0.5,0.01
463,695937.6799999595,302.9480221833158,1.0,303.27988908348914,1.1477425568810231,302.1295300642172,0.5,0.01
464,695947.6799999595,302.9437460595566,1.0,303.2762697022868,1.161183887878492,302.12866900175374,0.5,0.01
465,695957.6799999595,302.9394699357973,1.0,303.2726503210844,1.1746252188759603,302.1278079392902,0.5,0.01
466,695967.6799999595,302.9351938120381,1.0,303.26903093988204,1.188066549873429,302.12694687682676,0.5,0.01
467,695977.6799999595,302.93091768827884,1.0,303.2654115586797,1.2015078808708974,302.1260858143633,0.5,0.01
468,695987.6799999595,302.9266415645196,1.0,303.26179217747733,1.2149492118683662,302.12522475189985,0.5,0.01
469,695997.6799999595,302.92236544076036,1.0,303.258172796275,1.2283905428658346,302.1243636894364,0.5,0.01
470,696007.6799999595,302.91808931700115,1.0,303.2545534150726,1.2418318738633034,302.12350262697294,0.5,0.01
