times,sst,sst_err,ftemp,wind,atemp,swrad,humid,boatspd
31625.76000001154,291.797,0.1473972602739726,291.53799999999995,0.947,290.451,695.5,0.01,12.3
32321.471999990354,292.099,0.08506849315068493,291.222,1.015,290.947,635.6,0.01,12.4
33008.61600003009,292.336,0.1473972602739726,291.748,1.167,290.868,559.7,0.01,12.3
35765.73600001684,293.311,0.06395890410958904,290.777,1.739,291.826,737.2,0.01,1.5
36452.87999997308,291.097,0.07032876712328767,291.185,2.471,291.596,774.3,0.01,0.5
37144.07999997147,291.295,0.09369863013698629,291.32399999999996,3.317,291.795,780.6,0.01,0.6
37835.27999996986,291.402,0.09246575342465754,291.416,3.128,291.827,798.9,0.01,0.4
38526.47999997316,291.44,0.08,291.56199999999995,3.2,291.919,822.8,0.01,0.0
39226.31999996938,291.403,0.096,291.448,3.4,291.901,837.7,0.01,0.0
39917.51999997268,291.44,0.10684931506849316,291.381,2.654,291.983,850.4,0.01,0.4
40608.71999997107,291.578,0.1385890410958904,292.087,2.894,291.996,860.1,0.01,0.5
41299.91999996946,291.618,0.10898630136986301,292.50899999999996,2.932,292.028,865.6,0.01,0.7
41991.35999999016,291.168,0.09369863013698629,292.02799999999996,3.586,291.935,868.9,0.01,0.6
42682.31999997115,291.741,0.08536986301369863,292.142,3.715,292.066,869.4,0.01,0.6
43382.15999997228,291.983,0.09161643835616437,291.532,3.906,292.109,866.9,0.01,0.6
44073.35999997067,291.28,0.06871232876712328,291.436,3.031,292.063,867.6,0.01,0.6
44764.55999996906,291.376,0.07397260273972603,291.488,3.144,292.107,860.9,0.01,0.4
45455.75999997236,290.708,0.132,292.35299999999995,3.2,292.139,852.6,0.01,0.0
46146.95999997075,291.648,0.09786301369863014,291.786,2.807,292.187,832.5,0.01,0.6
46846.79999997188,291.566,0.086,292.019,3.0,292.13,816.5,0.01,0.0
47537.879999964025,291.049,0.082,292.10799999999995,2.8,292.157,799.3,0.01,0.0
48228.96000003966,292.46,0.0707945205479452,291.08799999999997,3.335,292.249,782.5,0.01,0.6
48920.16000003805,290.518,0.102,291.185,2.9,291.966,759.1,0.01,0.0
49611.36000003644,290.248,0.122,291.245,3.2,291.913,739.0,0.01,0.0
50311.20000003757,292.305,0.094,291.16499999999996,3.4,292.262,716.3,0.01,0.0
51002.16000001856,292.271,0.1,291.192,3.2,292.232,691.5,0.01,0.0
51693.2400000107,292.407,0.14,291.16299999999995,3.5,292.222,664.7,0.01,0.0
52392.960000000676,292.241,0.07653424657534245,291.185,2.821,292.177,631.2,0.01,0.5
53083.91999998166,292.575,0.058,291.22499999999997,2.9,292.273,596.2,0.01,0.0
53774.87999996265,292.553,0.13445205479452055,291.277,3.114,292.186,559.2,0.01,0.5
54465.84000002713,292.483,0.08494520547945204,291.313,2.825,292.126,519.9,0.01,1.3
55165.68000002826,291.857,0.116,291.308,2.8,292.194,477.1,0.01,0.0
55856.88000002665,290.905,0.1,291.414,2.4,291.984,434.8,0.01,0.0
56548.08000002995,291.729,0.078,292.40599999999995,2.2,292.063,382.4,0.01,0.0
57247.92000003108,291.317,0.094,292.529,2.3,291.903,333.2,0.01,0.0
58975.92000002951,291.563,0.10827397260273972,292.585,1.939,291.995,246.7,0.01,0.6
59667.1200000279,292.452,0.11761643835616438,291.394,2.176,292.061,205.0,0.01,1.3
60359.52000003963,292.124,0.12054794520547946,290.92499999999995,2.887,292.067,139.3,0.01,7.4
61054.079999962414,292.404,0.1704931506849315,291.09299999999996,2.845,292.031,105.3,0.01,10.8
61749.36000003072,292.773,0.15852054794520545,291.921,3.166,292.135,68.1,0.01,11.7
62453.28000000845,292.967,0.14157534246575343,292.19899999999996,3.608,292.242,37.1,0.01,11.9
63148.319999970954,292.571,0.13532876712328767,292.27599999999995,4.078,292.148,14.7,0.01,12.1
63851.76000000229,292.471,0.09331506849315069,292.378,3.716,292.111,4.0,0.01,11.6
66727.43999997128,292.63,0.14317808219178083,292.727,4.874,292.189,0.4,0.01,12.2
67440.00000004016,292.728,0.12482191780821919,292.885,5.102,292.215,0.5,0.01,12.2
68135.28000002007,292.672,0.1317808219178082,292.81,5.597,292.174,0.5,0.01,11.4
68830.55999999997,292.539,0.09178082191780823,292.596,6.097,292.151,0.5,0.01,12.2
69534.2399999603,292.635,0.14371232876712328,292.76099999999997,5.631,292.17,0.5,0.01,12.3
70229.03999998889,292.603,0.1676164383561644,292.518,5.905,292.14,0.5,0.01,12.0
70932.95999997153,292.558,0.09875342465753424,292.697,5.474,292.145,0.4,0.01,12.1
71628.47999996884,292.436,0.24591780821917808,292.498,6.735,292.146,0.4,0.01,12.6
72323.76000003715,292.116,0.17447945205479454,292.11699999999996,6.984,292.137,0.5,0.01,12.5
73018.79999999964,291.464,0.18016438356164383,291.524,6.887,291.903,0.4,0.01,12.8
73713.83999996215,290.121,0.12945205479452057,290.145,5.563,291.487,0.3,0.01,12.4
74417.52000001087,289.997,0.11338356164383562,289.121,5.296,291.135,0.3,0.01,12.1
75113.04000000819,290.455,0.11484931506849316,290.42999999999995,5.006,291.087,0.5,0.01,11.6
75808.5600000104,290.596,0.1363835616438356,290.72499999999997,4.528,291.053,0.5,0.01,11.6
76512.47999998814,290.861,0.21054794520547945,290.93699999999995,5.228,291.104,0.5,0.01,11.9
77207.75999997294,290.857,0.14520547945205478,290.397,5.31,291.084,0.5,0.01,11.9
77903.03999995286,290.619,0.14264383561643834,290.58,4.99,291.008,0.5,0.01,12.1
78598.07999999885,290.279,0.09801369863013698,290.179,5.655,290.834,0.5,0.01,11.9
79301.28000000786,289.564,0.1650958904109589,289.635,6.048,290.54,0.5,0.01,11.6
